id,green1,green2,green3,green4,green5,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,intel1,intel2,intel3,intel4,intel5,intel6,intel7,intel8,intel9,intel10,open1,open2,open3,open4,open5,open6,open7,open8,open9,open10,student
9099,4,2,5,4,3,2,5,4,4,2,2,2,2,2,2,4,2,2,2,2,2,3,1,2,4,5,4,2,4,3,4,2,4,1,4,2
6275,3,5,3,3,1,4,5,4,5,5,1,1,1,1,1,4,4,3,4,4,4,3,3,3,3,4,4,3,5,3,4,4,5,4,3,2
8116,4,2,5,4,3,4,5,5,4,5,1,2,2,2,2,4,4,4,3,4,3,3,3,2,2,5,4,3,5,5,2,2,2,2,3,2
8586,4,3,5,4,3,4,5,5,4,5,1,1,2,1,2,2,2,4,4,4,3,4,1,4,4,5,3,4,4,4,2,2,2,1,2,2
0406,3,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,2,1,2,4,5,4,2,4,4,4,4,2,2,2,2
5645,4,3,4,4,3,5,5,5,4,4,2,4,1,2,2,4,4,3,4,5,2,2,2,2,2,4,4,2,5,4,4,2,2,3,2,2
3788,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
8424,4,3,2,2,2,1,1,1,2,2,4,4,4,3,3,4,4,4,4,5,4,2,2,1,1,1,2,2,4,1,1,5,4,3,5,2
8450,4,2,3,5,2,4,4,4,4,4,1,2,1,2,2,4,4,4,4,3,3,1,1,2,2,5,4,4,5,5,-99,3,2,1,2,1
0512,4,2,5,5,4,5,2,5,4,2,2,2,2,2,2,4,4,4,2,4,4,2,3,2,2,5,5,2,4,5,1,2,2,2,2,2
3972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6218,3,2,4,3,3,4,5,5,4,4,2,2,2,2,2,4,4,3,2,4,4,2,1,4,2,4,4,4,4,4,4,2,2,3,2,2
5055,3,3,3,3,4,3,3,4,2,3,3,3,3,3,2,3,3,3,4,4,4,2,1,2,3,4,4,5,4,2,3,2,2,2,2,2
6912,4,3,3,3,3,4,4,5,4,5,2,2,2,2,1,3,2,2,4,4,3,3,2,2,2,4,3,3,3,4,2,3,2,2,4,2
8437,3,2,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5500,4,2,5,5,4,5,5,5,5,5,1,2,2,1,1,5,4,2,2,5,5,1,4,4,4,5,5,4,5,5,5,5,1,1,1,2
5549,3,4,4,4,3,4,2,4,4,4,4,2,4,4,4,4,4,2,2,4,4,4,4,4,2,4,2,4,2,4,2,5,4,2,2,2
1112,4,2,5,4,4,4,4,5,4,4,3,4,3,1,1,3,3,4,3,5,4,3,5,2,3,5,3,5,3,5,2,5,1,2,2,1
4872,3,3,3,2,1,4,4,4,5,4,2,3,2,2,1,2,3,2,2,3,2,4,4,4,4,4,3,3,3,3,3,4,3,4,3,2
3082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8917,4,4,4,3,2,4,4,5,5,4,2,1,1,1,2,4,5,3,4,4,4,2,4,4,2,4,2,2,4,1,2,5,4,2,4,2
2535,3,3,5,4,4,3,5,5,4,4,2,1,2,2,2,4,5,4,4,4,4,1,1,2,2,5,4,3,4,4,3,3,2,3,4,2
9587,5,4,4,2,2,5,5,5,5,5,1,1,1,1,1,2,3,4,4,2,2,1,1,3,4,5,5,5,5,5,3,4,2,2,1,2
3699,4,2,5,3,4,4,5,5,4,4,2,2,2,2,2,2,2,2,1,2,2,2,1,4,4,5,4,4,2,5,4,2,4,4,5,2
6037,4,2,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4,4,4,3,2,4,2,2,4,4,4,4,4,4,3,2,2,2,1
7518,4,2,3,4,3,4,4,5,4,4,2,3,2,2,2,4,4,4,4,4,4,2,3,2,2,4,4,4,5,4,4,2,3,3,3,1
8813,2,4,3,2,1,4,3,3,4,2,2,3,2,3,3,4,4,4,3,4,4,1,2,2,2,4,4,4,4,5,4,5,4,5,4,2
3688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4858,3,3,4,3,2,4,5,5,4,4,2,2,2,2,1,5,4,4,2,3,4,2,2,4,2,5,5,4,5,4,4,2,2,2,2,2
6551,2,4,4,4,1,4,5,5,4,4,2,2,3,2,2,2,4,2,3,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,5,1
4621,4,2,4,4,4,2,3,3,3,4,3,2,2,2,2,4,4,4,2,4,4,2,4,-99,-99,5,2,2,4,2,3,4,3,2,4,2
4635,3,4,5,3,1,5,4,5,4,5,2,2,2,2,2,4,4,4,4,4,4,2,1,2,2,5,4,3,4,5,4,2,2,2,2,2
9606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3915,3,5,4,3,2,4,4,4,4,4,2,2,2,2,2,4,4,4,4,4,4,2,1,2,2,5,4,4,5,4,4,4,2,2,1,2
9718,4,3,5,4,2,5,5,5,5,5,1,2,1,2,1,5,2,3,3,5,3,4,4,4,4,4,4,5,4,4,4,5,2,1,3,1
1130,4,2,5,4,2,4,4,4,3,4,2,2,2,2,2,4,3,4,5,4,4,2,1,2,3,4,4,5,5,4,4,2,2,2,2,1
7486,3,3,4,4,2,4,4,4,4,4,2,2,2,3,2,4,4,4,4,4,4,2,2,4,2,4,4,4,5,4,3,3,3,4,3,2
2555,5,2,3,3,4,5,4,5,4,3,2,2,2,2,2,4,4,3,3,4,4,3,4,3,2,4,5,4,4,3,4,2,2,2,3,2
6394,4,4,3,4,4,4,3,4,4,4,3,4,3,3,4,3,4,4,4,3,4,3,3,4,3,3,4,4,4,4,4,4,3,3,3,1
